mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
92.1393,82.297,75.902,110.98,102.482,38.2596
90.4221,84.8727,78.9649,115.802,107.268,41.0314
90.5838,93.5175,61.7822,96.3025,89.1797,37.5249
91.9588,82.1467,71.8126,104.248,96.3726,35.7117
91.2331,95.8346,36.3799,58.0711,53.7118,23.1884
90.7959,103.638,34.9528,59.6221,55.1908,25.7464
90.8417,91.8505,73.7371,113.704,105.245,43.5159
83.0528,91.5631,64.5656,98.5804,91.9929,39.0625
90.3899,89.5556,75.5129,114.119,105.717,42.5837
85.414,90.745,18.7499,28.2879,26.3579,10.9115
89.1401,89.1303,75.8381,113.272,105.169,42.0665
90.9954,91.1942,54.2346,83.3161,77.0955,31.6581
93.0861,92.1944,64.4366,101.375,93.4399,38.9428
89.0253,91.9364,15.8837,24.66,22.8474,9.58373
94.2458,91.5457,71.9346,113.629,104.508,43.3454
91.1524,91.2383,46.3836,71.3625,66.0152,27.1291
91.7504,90.6774,64.5435,99.3289,91.7849,37.5291
92.0884,94.7955,73.7441,117.536,108.539,46.4244
95.3418,86.1352,77.689,118.632,108.949,42.6078
91.9066,95.6239,71.1343,113.987,105.298,45.4173
86.3777,92.452,75.9697,116.532,108.434,45.6829
102.557,87.5079,37.6337,61.5435,55.7476,22.4909
90.5313,93.7044,67.8087,105.807,97.9905,41.3107
92.1852,81.1737,71.4756,103.292,95.4625,34.9868
89.0434,92.3673,31.9017,48.7255,45.2481,18.753
120.567,92.168,15.5003,33.2505,28.9535,12.8599
91.0216,88.5966,73.3796,110.802,102.509,40.9541
78.7451,95.044,71.3206,103.412,97.6873,40.9529
94.155,92.2406,74.8168,118.765,109.248,45.6472
84.4403,91.9248,22.1239,32.6196,30.5341,12.494
89.7602,91.9553,56.7129,86.8171,80.5167,33.2637
89.4707,91.5342,75.8286,116.477,107.967,44.7105
90.2942,90.6795,60.4909,92.0979,85.3314,34.7975
90.2593,91.0137,73.5944,112.294,104.05,42.5844
101.574,93.2045,10.958,18.7428,16.9921,7.28323
95.028,93.996,71.578,116.161,106.669,45.4951
86.2276,91.1759,79.612,118.205,110.312,44.9063
93.3979,90.5794,62.7599,97.7258,90.0285,36.8857
88.4325,90.2223,78.7952,118.003,109.7,44.3605
93.7402,90.5736,76.2551,119.346,109.841,45.1219
90.394,91.1084,69.6597,106.469,98.6285,40.4176
93.5665,91.987,56.8168,89.5947,82.5057,34.3441
92.2711,98.3927,38.7046,63.7712,58.8657,26.155
89.6986,91.8628,78.4288,119.924,111.233,45.9023
90.4434,92.2074,72.9264,112.419,104.131,43.1912
93.4376,89.8009,71.0589,110.017,101.348,41.1699
90.1704,90.8734,77.8714,118.621,109.93,44.9144
92.8685,90.1355,47.4678,73.3781,67.6648,27.5637
93.2213,90.8889,68.9887,107.538,99.0991,40.727
91.7107,96.6303,74.2871,119.925,110.817,48.3024
93.062,91.0203,45.7153,71.2451,65.6734,27.0208
88.0764,91.5485,76.5917,118.027,109.506,45.7678
91.4222,99.3166,34.2449,56.4213,52.1676,23.3482
92.3002,94.2654,70.6606,113.721,104.829,45.0214
93.676,92.466,50.5671,80.1096,73.756,30.8652
91.8423,90.4743,68.8503,106.808,98.571,40.5225
70.743,91.6992,55.144,74.916,71.5869,28.6259
95.0882,92.1771,74.321,119.01,109.258,45.7586
88.8838,89.6866,66.0663,99.8145,92.6064,37.5787
89.6813,93.4212,55.9288,86.5119,80.2452,33.6755
