mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
194.011,32.1246,34.8541,76.8186,61.2531,13.9281
158.312,78.6743,14.0578,83.9376,66.8757,29.1682
151.018,78.6314,20.4761,74.5939,60.5102,25.8789
97.4693,101.257,57.3611,102.313,93.4946,43.1678
133.511,66.5059,58.0486,100.858,87.2817,29.1058
163.836,26.3131,51.2796,79.782,68.1716,12.247
172.72,46.7618,43.2096,96.5493,78.096,22.4625
163.296,59.2577,39.5481,95.3032,77.495,26.1171
151.199,20.7641,67.0661,80.7036,74.6636,8.31787
83.5056,126.423,57.931,119.529,112.061,62.9637
172.311,56.6044,35.2524,103.163,81.9431,27.7845
183.778,46.5998,27.8816,81.6165,63.9711,19.3129
184.979,28.7951,49.4234,82.5579,69.2779,13.0456
122.24,30.9495,76.3526,91.7298,85.3559,12.7906
124.037,104.275,22.6303,73.1611,62.8463,31.8953
153.219,77.763,14.8995,110.136,87.6751,38.8705
183.231,33.4273,47.6695,86.5755,71.5686,15.434
162.983,62.5142,31.2439,82.8891,66.9971,23.7744
